City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,katsuura,JP,35.1333,140.3,75.11,85,100,11.21,light rain
1,mataura,NZ,-46.1927,168.8643,49.48,82,85,1.14,overcast clouds
2,sao felix do xingu,BR,-6.6447,-51.995,77.86,68,44,3.53,scattered clouds
3,carnarvon,AU,-24.8667,113.6333,59.07,82,55,6.91,broken clouds
4,sioux lookout,CA,50.1001,-91.917,84.58,36,20,6.91,few clouds
5,manta,EC,-0.95,-80.7333,76.78,83,75,12.66,broken clouds
6,butaritari,KI,3.0707,172.7902,82.33,74,68,7.45,light rain
7,jamestown,US,42.097,-79.2353,83.52,47,1,6.91,clear sky
8,vestmanna,FO,62.1564,-7.1664,49.12,100,90,7.61,overcast clouds
9,senneterre,CA,48.3835,-77.2328,64.62,74,95,6.53,overcast clouds
10,port alfred,ZA,-33.5906,26.891,57.67,70,0,13.18,clear sky
11,clyde river,CA,70.4692,-68.5914,32.23,93,90,19.57,mist
12,khorinsk,RU,52.1657,109.7726,67.08,44,89,1.16,overcast clouds
13,sechura,PE,-5.5569,-80.8222,70.52,71,100,15.03,overcast clouds
14,seoul,KR,37.5683,126.9778,71.08,75,75,4.09,mist
15,shu,KZ,43.5983,73.7614,63.77,44,97,8.5,overcast clouds
16,talnakh,RU,69.4865,88.3972,30.97,97,98,3.94,light snow
17,itaporanga,BR,-7.3044,-38.1503,75.15,75,36,9.86,scattered clouds
18,san cristobal,VE,7.7669,-72.225,71.78,99,67,2.89,broken clouds
19,dikson,RU,73.5069,80.5464,30.6,97,100,11.3,light snow
20,ushuaia,AR,-54.8,-68.3,33.46,80,40,5.75,scattered clouds
21,puerto ayora,EC,-0.7393,-90.3518,73.54,89,87,4.0,overcast clouds
22,sambava,MG,-14.2667,50.1667,71.71,92,98,3.6,overcast clouds
23,aklavik,CA,68.2191,-135.0107,41.83,70,75,12.66,broken clouds
24,lebu,CL,-37.6167,-73.65,50.36,77,100,13.62,overcast clouds
25,suwalki,PL,54.1118,22.9309,52.84,91,8,6.55,clear sky
26,ixtapa,MX,20.7,-105.2,84.22,79,21,4.0,few clouds
27,kawalu,ID,-7.3817,108.2082,74.44,88,65,1.77,broken clouds
28,bluff,NZ,-46.6,168.3333,49.8,74,39,5.93,scattered clouds
29,biak,ID,-0.9131,122.8766,80.17,75,40,7.61,scattered clouds
30,clermont,FR,49.5,2.4167,56.16,83,84,5.88,broken clouds
31,russell,US,32.3502,-85.1999,83.48,74,90,4.16,overcast clouds
32,riyadh,SA,24.6877,46.7219,95.05,15,0,0.0,clear sky
33,novska,HR,45.3406,16.9769,64.27,90,45,2.1,scattered clouds
34,castro,BR,-24.7911,-50.0119,58.57,85,12,2.95,few clouds
35,faya,SA,18.3851,42.4509,68.52,56,18,0.56,few clouds
36,atuona,PF,-9.8,-139.0333,79.27,71,18,14.79,few clouds
37,bethel,US,41.3712,-73.414,85.87,72,85,3.89,overcast clouds
38,korla,CN,41.7597,86.1469,72.57,37,70,13.71,broken clouds
39,ilulissat,GL,69.2167,-51.1,46.42,53,9,9.22,clear sky
40,saint-francois,FR,46.4154,3.9054,60.19,96,0,0.0,clear sky
41,tuktoyaktuk,CA,69.4541,-133.0374,39.2,70,20,14.97,few clouds
42,ikongo,MG,-21.8833,47.4333,62.83,98,48,3.29,scattered clouds
43,leningradskiy,RU,69.3833,178.4167,37.02,95,97,12.03,overcast clouds
44,verkh-chebula,RU,56.0308,87.6218,50.72,82,84,13.73,broken clouds
45,pandan,PH,14.0453,124.1694,85.5,71,55,3.27,broken clouds
46,hobart,AU,-42.8794,147.3294,47.26,78,75,1.01,light rain
47,saint-philippe,RE,-21.3585,55.7679,72.95,83,26,3.15,light rain
48,vaini,TO,-21.2,-175.2,77.16,78,40,0.0,scattered clouds
49,arraial do cabo,BR,-22.9661,-42.0278,73.74,86,0,22.55,clear sky
50,rikitea,PF,-23.1203,-134.9692,76.1,80,91,11.39,overcast clouds
51,esmeraldas,BR,-19.7625,-44.3139,67.06,81,49,8.08,scattered clouds
52,valdosta,US,30.8327,-83.2785,87.71,54,1,0.0,clear sky
53,bontang,ID,0.1333,117.5,81.0,79,50,4.16,light rain
54,ahipara,NZ,-35.1667,173.1667,58.75,89,100,16.82,overcast clouds
55,souillac,MU,-20.5167,57.5167,70.18,88,40,3.4,scattered clouds
56,punta arenas,CL,-53.15,-70.9167,35.71,93,0,5.08,clear sky
57,lagoa,PT,39.05,-27.9833,63.05,84,61,5.12,broken clouds
58,faanui,PF,-16.4833,-151.75,80.64,74,39,9.19,scattered clouds
59,norman wells,CA,65.282,-126.8329,53.64,62,75,12.66,light rain
60,arcachon,FR,44.5875,-1.0519,59.41,88,0,6.91,clear sky
61,kaitangata,NZ,-46.2817,169.8464,49.93,74,97,1.99,overcast clouds
62,singkawang,ID,0.9,109.0,77.58,92,78,4.03,light rain
63,shingu,JP,33.7333,135.9833,65.39,97,100,6.58,overcast clouds
64,sabang,ID,5.8933,95.3214,82.71,74,100,16.91,overcast clouds
65,new norfolk,AU,-42.7826,147.0587,46.92,76,92,1.01,light rain
66,port hardy,CA,50.6996,-127.4199,53.78,66,75,11.5,broken clouds
67,yuancheng,CN,36.652,107.7896,72.61,21,49,7.27,scattered clouds
68,zhicheng,CN,30.2956,111.5047,79.77,64,35,0.27,light rain
69,ribeira grande,PT,38.5167,-28.7,64.62,85,74,7.7,broken clouds
70,kapaa,US,22.0752,-159.319,84.18,70,20,4.0,few clouds
71,acapulco,MX,16.8634,-99.8901,86.36,63,96,7.54,overcast clouds
72,matane,CA,48.8286,-67.522,69.22,94,68,5.44,broken clouds
73,chicama,PE,-7.8447,-79.1469,64.94,82,31,7.18,scattered clouds
74,yellowknife,CA,62.456,-114.3525,64.92,45,40,3.0,scattered clouds
75,corning,US,42.1428,-77.0547,75.9,82,3,4.16,clear sky
76,quatre cocos,MU,-20.2078,57.7625,69.91,80,12,3.44,few clouds
77,albany,US,42.6001,-73.9662,79.72,68,28,9.44,scattered clouds
78,beringovskiy,RU,63.05,179.3167,38.68,87,100,3.42,overcast clouds
79,port elizabeth,ZA,-33.918,25.5701,53.89,94,0,5.75,clear sky
80,kargopol,RU,61.5071,38.9456,55.13,73,2,0.74,clear sky
81,hilo,US,19.7297,-155.09,85.28,79,13,3.0,few clouds
82,sibolga,ID,1.7427,98.7792,73.74,69,36,4.68,scattered clouds
83,comodoro rivadavia,AR,-45.8667,-67.5,44.46,61,0,8.05,clear sky
84,ponta do sol,PT,32.6667,-17.1,67.01,76,44,4.79,scattered clouds
85,bredasdorp,ZA,-34.5322,20.0403,47.52,87,0,4.56,clear sky
86,la ronge,CA,55.1001,-105.2842,75.42,38,75,5.75,broken clouds
87,sitka,US,57.0531,-135.33,55.29,71,90,4.61,light rain
88,avarua,CK,-21.2078,-159.775,75.25,73,75,8.05,broken clouds
89,georgetown,MY,5.4112,100.3354,78.89,91,20,2.3,few clouds
90,vardo,NO,70.3705,31.1107,41.11,74,52,12.33,broken clouds
91,chernaya kholunitsa,RU,58.8511,51.7154,50.59,81,56,3.33,broken clouds
92,nieves,PH,15.3274,120.9485,85.51,73,100,3.0,overcast clouds
93,nishihara,JP,26.1842,127.7558,83.86,89,75,18.25,broken clouds
94,cabo san lucas,MX,22.8909,-109.9124,98.82,55,1,13.94,clear sky
95,busselton,AU,-33.65,115.3333,58.08,86,75,9.51,broken clouds
96,east london,ZA,-33.0153,27.9116,57.52,68,1,10.8,clear sky
97,upernavik,GL,72.7868,-56.1549,36.19,87,87,2.04,overcast clouds
98,victoria,HK,22.2855,114.1577,84.96,80,72,1.01,broken clouds
99,upata,VE,8.0086,-62.3989,73.18,95,52,4.72,broken clouds
100,namibe,AO,-15.1961,12.1522,71.56,58,53,3.62,broken clouds
101,mahebourg,MU,-20.4081,57.7,70.09,88,40,6.91,scattered clouds
102,okhotsk,RU,59.3833,143.3,46.92,73,76,2.33,broken clouds
103,mangai,CD,-4.05,19.5333,73.29,58,97,1.3,overcast clouds
104,shelburne,CA,44.0787,-80.2041,82.89,73,100,14.43,overcast clouds
105,phan thiet,VN,10.9333,108.1,81.59,80,100,8.79,overcast clouds
106,port macquarie,AU,-31.4333,152.9167,58.89,54,1,3.22,clear sky
107,bocaiuva,BR,-17.1078,-43.815,71.31,79,48,8.55,scattered clouds
108,kidderminster,GB,52.3882,-2.25,61.43,93,96,3.38,overcast clouds
109,hermanus,ZA,-34.4187,19.2345,60.91,46,1,7.85,clear sky
110,hamilton,US,39.1834,-84.5333,83.17,58,20,3.15,few clouds
111,beisfjord,NO,68.3751,17.5988,52.05,74,15,2.1,few clouds
112,tuatapere,NZ,-46.1333,167.6833,49.82,78,12,1.97,few clouds
113,boa vista,BR,2.8197,-60.6733,82.38,78,20,1.14,few clouds
114,pangnirtung,CA,66.1451,-65.7125,32.81,95,88,2.57,overcast clouds
115,makakilo city,US,21.3469,-158.0858,83.61,55,75,19.93,broken clouds
116,salisbury,GB,51.0693,-1.7957,60.57,88,92,3.06,overcast clouds
117,chuy,UY,-33.6971,-53.4616,56.59,91,100,10.85,overcast clouds
118,grand gaube,MU,-20.0064,57.6608,70.2,73,15,5.21,few clouds
119,walvis bay,NA,-22.9575,14.5053,72.55,20,0,21.27,clear sky
120,bubaque,GW,11.2833,-15.8333,79.77,83,71,6.4,broken clouds
121,amga,RU,60.8953,131.9608,74.61,40,70,5.77,broken clouds
122,sarab,IR,38.6066,44.9883,59.86,43,0,4.76,clear sky
123,beloha,MG,-25.1667,45.05,58.62,80,0,6.13,clear sky
124,thompson,CA,55.7435,-97.8558,55.56,94,90,6.91,overcast clouds
125,nuzvid,IN,16.7833,80.85,82.38,78,21,3.98,few clouds
126,kavieng,PG,-2.5744,150.7967,83.79,71,98,3.27,light rain
127,durban,ZA,-29.8579,31.0292,59.02,88,39,1.99,scattered clouds
128,bathsheba,BB,13.2167,-59.5167,79.41,73,40,17.05,scattered clouds
129,kodiak,US,57.79,-152.4072,62.11,36,1,21.85,clear sky
130,tezu,IN,27.9167,96.1667,72.27,97,99,1.23,overcast clouds
131,mar del plata,AR,-38.0023,-57.5575,51.13,63,0,7.0,clear sky
132,airai,TL,-8.9266,125.4092,64.24,79,88,3.65,overcast clouds
133,qaanaaq,GL,77.484,-69.3632,38.32,77,100,5.82,overcast clouds
134,sinnamary,GF,5.3833,-52.95,78.4,86,54,10.31,broken clouds
135,gamba,GA,-2.65,10.0,76.48,89,84,3.24,broken clouds
136,broome,US,42.2506,-75.833,81.37,83,6,4.12,clear sky
137,isangel,VU,-19.55,169.2667,78.42,73,72,12.62,broken clouds
138,khatanga,RU,71.9667,102.5,34.84,79,96,11.72,overcast clouds
139,lasa,IT,46.6166,10.7002,58.08,97,100,5.1,overcast clouds
140,hovd,MN,48.0056,91.6419,46.26,29,0,6.42,clear sky
141,port blair,IN,11.6667,92.75,84.11,77,100,9.82,moderate rain
142,geraldton,AU,-28.7667,114.6,46.81,87,0,5.32,clear sky
143,kilindoni,TZ,-7.9139,39.6668,79.14,71,44,23.24,light rain
144,kuandian,CN,40.7286,124.7847,64.36,71,86,2.86,overcast clouds
145,ballina,AU,-28.8667,153.5667,61.79,73,9,4.61,clear sky
146,staunton,US,38.1496,-79.0717,85.12,50,1,4.99,clear sky
147,rio gallegos,AR,-51.6226,-69.2181,30.25,86,0,9.22,clear sky
148,hami,CN,42.8,93.45,72.59,31,86,13.96,overcast clouds
149,kargasok,RU,59.0556,80.8572,55.53,64,93,7.63,overcast clouds
150,jatai,BR,-17.8814,-51.7144,68.74,45,26,2.86,scattered clouds
151,arlit,NE,18.7369,7.3853,89.96,16,42,2.86,scattered clouds
152,cape town,ZA,-33.9258,18.4232,61.12,81,5,5.68,clear sky
153,honiara,SB,-9.4333,159.95,85.84,67,83,3.8,broken clouds
154,burlington,US,39.8835,-74.6413,89.82,52,1,1.01,clear sky
155,kuznechnoye,RU,61.12,29.8686,58.68,71,98,2.15,overcast clouds
156,severo-kurilsk,RU,50.6789,156.125,43.34,94,95,14.74,overcast clouds
157,lorengau,PG,-2.0226,147.2712,78.3,90,100,9.15,overcast clouds
158,karabuk,TR,41.2049,32.6277,47.8,86,10,1.36,clear sky
159,bure,ET,10.7,37.0667,59.45,74,82,3.38,broken clouds
160,garden city,US,42.3256,-83.331,86.99,56,37,10.8,scattered clouds
161,havre-saint-pierre,CA,50.2334,-63.5986,52.16,93,90,6.91,mist
162,mpulungu,ZM,-8.7623,31.1141,69.06,74,28,10.69,scattered clouds
163,kahului,US,20.8947,-156.47,83.46,75,9,14.0,clear sky
164,saint george,US,37.1041,-113.5841,104.63,10,1,11.01,clear sky
165,lavrentiya,RU,65.5833,-171.0,35.87,75,91,14.72,overcast clouds
166,masty,BY,53.4122,24.5387,53.85,90,48,5.59,scattered clouds
167,naze,JP,28.3667,129.4833,70.72,94,100,5.79,overcast clouds
168,imbituba,BR,-28.24,-48.6703,69.69,79,54,7.94,broken clouds
169,olafsvik,IS,64.8945,-23.7142,48.7,79,98,8.39,overcast clouds
170,aleksandrov gay,RU,50.147,48.5704,58.05,95,100,5.41,overcast clouds
171,tiznit,MA,29.5833,-9.5,63.36,66,30,1.1,scattered clouds
172,mananara,MG,-16.1667,49.7667,69.69,94,73,2.82,broken clouds
173,avera,US,33.194,-82.5271,80.26,92,98,6.08,overcast clouds
174,macapa,BR,0.0389,-51.0664,78.78,94,75,6.91,broken clouds
175,foumbot,CM,5.5079,10.6356,64.09,99,94,1.39,light rain
176,laguna,US,38.421,-121.4238,99.32,28,75,5.01,broken clouds
177,cidreira,BR,-30.1811,-50.2056,68.97,79,97,11.18,overcast clouds
178,barrow,US,71.2906,-156.7887,37.0,83,48,8.19,scattered clouds
179,mount gambier,AU,-37.8333,140.7667,57.11,100,75,13.8,broken clouds
180,fochville,ZA,-26.4886,27.4939,45.46,43,0,5.64,clear sky
181,san vicente,AR,-26.6167,-54.1333,66.4,62,98,2.91,overcast clouds
182,yerbogachen,RU,61.2767,108.0108,52.54,44,61,3.33,broken clouds
183,mishan,CN,45.55,131.8833,58.53,82,98,6.91,overcast clouds
184,vanavara,RU,60.34,102.2797,50.77,44,66,7.2,broken clouds
185,fairbanks,US,64.8378,-147.7164,74.25,33,1,11.5,clear sky
186,banda aceh,ID,5.5577,95.3222,79.48,80,100,11.07,overcast clouds
187,toora-khem,RU,52.4675,96.11,40.03,94,99,6.96,light rain
188,cochrane,CA,51.1834,-114.4687,59.61,81,90,18.7,overcast clouds
189,saint anthony,US,45.0205,-93.218,96.85,35,40,1.99,scattered clouds
190,wagar,SD,16.1525,36.2032,89.44,29,31,6.44,scattered clouds
191,nador,MA,35.174,-2.9287,66.45,88,0,2.62,clear sky
192,grindavik,IS,63.8424,-22.4338,49.95,93,75,19.69,moderate rain
193,egvekinot,RU,66.3167,-179.1667,38.55,69,21,2.91,few clouds
194,izyum,UA,49.2088,37.2485,55.26,97,98,6.17,overcast clouds
195,constitucion,CL,-35.3333,-72.4167,51.4,65,100,4.85,overcast clouds
196,kyra,RU,49.5776,111.9753,67.48,37,16,4.16,few clouds
197,san quintin,MX,30.4833,-115.95,65.66,67,13,8.99,few clouds
198,pavlodolskaya,RU,43.7192,44.4781,61.38,95,95,3.29,overcast clouds
199,kalmunai,LK,7.4167,81.8167,77.59,84,87,3.24,overcast clouds
200,tiksi,RU,71.6872,128.8694,41.29,62,81,9.13,broken clouds
201,bambous virieux,MU,-20.3428,57.7575,70.05,88,40,3.94,scattered clouds
202,iracoubo,GF,5.4802,-53.2011,77.95,88,31,10.36,scattered clouds
203,xining,CN,36.6167,101.7667,62.13,34,100,3.85,overcast clouds
204,edd,ER,13.9297,41.6925,86.99,71,18,2.28,few clouds
205,shimoda,JP,34.6667,138.95,70.16,93,97,7.74,heavy intensity rain
206,umm lajj,SA,25.0213,37.2685,81.1,56,15,8.43,few clouds
207,osmena,PH,10.5208,119.9258,82.45,75,100,5.1,overcast clouds
208,meulaboh,ID,4.1363,96.1285,74.23,86,91,5.03,overcast clouds
209,brae,GB,60.3964,-1.353,48.11,83,48,6.35,scattered clouds
210,camacha,PT,33.0833,-16.3333,63.54,77,75,11.5,broken clouds
211,koslan,RU,63.4564,48.8989,57.06,72,38,5.28,scattered clouds
212,matagami,CA,49.7502,-77.6328,57.31,67,90,3.51,overcast clouds
213,vao,NC,-22.6667,167.4833,71.31,64,96,20.11,overcast clouds
214,caruaru,BR,-8.2833,-35.9761,67.32,97,29,5.55,scattered clouds
215,elizabeth city,US,36.2946,-76.2511,84.4,79,82,1.99,broken clouds
216,honningsvag,NO,70.9821,25.9704,41.2,82,31,17.34,scattered clouds
217,bengkulu,ID,-3.8004,102.2655,75.33,91,17,3.2,few clouds
218,monterey,US,36.2505,-121.2516,89.06,22,6,11.01,clear sky
219,huarmey,PE,-10.0681,-78.1522,65.3,84,9,9.44,clear sky
220,almaznyy,RU,48.0448,40.045,57.34,96,97,8.48,overcast clouds
221,sao filipe,CV,14.8961,-24.4956,76.32,69,96,11.61,overcast clouds
222,kruisfontein,ZA,-34.0033,24.7314,51.4,33,0,6.89,clear sky
223,guerrero negro,MX,27.9769,-114.0611,70.97,57,39,16.58,scattered clouds
224,puerto escondido,MX,15.85,-97.0667,84.99,70,99,5.66,overcast clouds
225,pisco,PE,-13.7,-76.2167,64.45,82,40,8.05,scattered clouds
226,komsomolskiy,UZ,40.4272,71.7189,80.02,40,66,4.61,broken clouds
227,hasaki,JP,35.7333,140.8333,72.28,73,100,4.0,overcast clouds
228,whitehorse,CA,60.7161,-135.0538,63.37,31,75,14.97,light rain
229,maltahohe,NA,-24.8333,16.9833,49.82,47,0,13.96,clear sky
230,san patricio,US,28.017,-97.5169,86.68,70,63,9.93,broken clouds
231,smithers,CA,54.7804,-127.1743,55.72,38,75,2.3,broken clouds
232,snezhnogorsk,RU,69.1933,33.2531,31.78,76,48,3.6,scattered clouds
233,adjumani,UG,3.3779,31.7909,65.52,96,93,1.61,light rain
